,Timestamp,MemoryUsed,ReadThroughput_avg_1minute,ReadCount,WriteThroughput_avg_1minute,WriteCount,PendingTasks,WaitingOnCommit1,ReadThroughput,WriteThroughput
80,2019-11-19 11:38:29.351,652777088,649.9022614074481,3580328,41.53369562729787,279588,0,0.0,1333.0,73.0
81,2019-11-19 11:38:30.381,679044640,649.9022614074481,3581644,41.53369562729787,279671,0,0.0,1316.0,83.0
82,2019-11-19 11:38:31.403,705387368,649.9022614074481,3582975,41.53369562729787,279739,0,0.0,1331.0,68.0
83,2019-11-19 11:38:32.436,731604920,649.9022614074481,3584353,41.53369562729787,279828,0,0.0,1378.0,89.0
84,2019-11-19 11:38:33.463,755666600,649.9022614074481,3585716,41.53369562729787,279880,0,0.0,1363.0,52.0
85,2019-11-19 11:38:34.484,780754048,702.0890911667326,3587042,43.873700125053674,279974,0,0.0,1326.0,94.0
86,2019-11-19 11:38:35.513,800173480,702.0890911667326,3588146,43.873700125053674,280026,0,0.0,1104.0,52.0
87,2019-11-19 11:38:36.534,823106360,702.0890911667326,3589339,43.873700125053674,280080,0,0.0,1193.0,54.0
88,2019-11-19 11:38:37.558,564619048,702.0890911667326,3590651,43.873700125053674,280152,0,0.0,1312.0,72.0
89,2019-11-19 11:38:38.581,589510288,702.0890911667326,3591988,43.873700125053674,280218,0,0.0,1337.0,66.0
90,2019-11-19 11:38:39.61,616879280,744.0586501499504,3593463,45.56286579827145,280292,0,0.0,1475.0,74.0
91,2019-11-19 11:38:40.632,644716392,744.0586501499504,3594873,45.56286579827145,280364,0,0.0,1410.0,72.0
92,2019-11-19 11:38:41.653,671517840,744.0586501499504,3596274,45.56286579827145,280443,0,0.0,1401.0,79.0
93,2019-11-19 11:38:42.707,695402296,744.0586501499504,3597687,45.56286579827145,280521,0,0.0,1413.0,78.0
94,2019-11-19 11:38:43.729,718970264,795.2255353801122,3599078,47.83657350963515,280593,0,0.0,1391.0,72.0
95,2019-11-19 11:38:44.753,741760936,795.2255353801122,3600377,47.83657350963515,280662,0,0.0,1299.0,69.0
96,2019-11-19 11:38:45.782,765393760,795.2255353801122,3601737,47.83657350963515,280742,0,0.0,1360.0,80.0
97,2019-11-19 11:38:46.806,790426656,795.2255353801122,3603074,47.83657350963515,280797,0,0.0,1337.0,55.0
98,2019-11-19 11:38:47.831,814373224,795.2255353801122,3604407,47.83657350963515,280878,0,0.0,1333.0,81.0
99,2019-11-19 11:38:48.853,559384808,836.4166112668203,3605795,49.60866324849224,280958,0,0.0,1388.0,80.0
100,2019-11-19 11:38:49.877,583326192,836.4166112668203,3607187,49.60866324849224,281036,0,0.0,1392.0,78.0
101,2019-11-19 11:38:50.9,609509312,836.4166112668203,3608609,49.60866324849224,281102,0,0.0,1422.0,66.0
102,2019-11-19 11:38:51.921,633095928,836.4166112668203,3609976,49.60866324849224,281182,0,0.0,1367.0,80.0
103,2019-11-19 11:38:52.944,657620208,836.4166112668203,3611315,49.60866324849224,281254,0,0.0,1339.0,72.0
104,2019-11-19 11:38:53.968,682540384,875.897351159298,3612637,51.33501121739446,281311,0,0.0,1322.0,57.0
105,2019-11-19 11:38:54.993,704974560,875.897351159298,3613942,51.33501121739446,281383,0,0.0,1305.0,72.0
106,2019-11-19 11:38:56.026,728965000,875.897351159298,3615282,51.33501121739446,281452,0,0.0,1340.0,69.0
107,2019-11-19 11:38:57.056,753847552,875.897351159298,3616636,51.33501121739446,281522,0,0.0,1354.0,70.0
108,2019-11-19 11:38:58.079,776858888,875.897351159298,3617961,51.33501121739446,281593,0,0.0,1325.0,71.0
109,2019-11-19 11:38:59.101,801731976,910.7502026119847,3619352,52.63548791655518,281663,0,0.0,1391.0,70.0
110,2019-11-19 11:39:00.123,827682168,910.7502026119847,3620804,52.63548791655518,281760,0,0.0,1452.0,97.0
111,2019-11-19 11:39:01.143,569433208,910.7502026119847,3622127,52.63548791655518,281829,0,0.0,1323.0,69.0
112,2019-11-19 11:39:02.17,594045736,910.7502026119847,3623473,52.63548791655518,281909,0,0.0,1346.0,80.0
113,2019-11-19 11:39:03.191,619656576,910.7502026119847,3624969,52.63548791655518,281964,0,0.0,1496.0,55.0
114,2019-11-19 11:39:04.213,644120544,946.9420821300616,3626360,54.27973551804934,282037,0,0.0,1391.0,73.0
115,2019-11-19 11:39:05.238,666471280,946.9420821300616,3627583,54.27973551804934,282104,0,0.0,1223.0,67.0
116,2019-11-19 11:39:06.259,693097648,946.9420821300616,3629075,54.27973551804934,282179,0,0.0,1492.0,75.0
117,2019-11-19 11:39:07.282,719905864,946.9420821300616,3630490,54.27973551804934,282252,0,0.0,1415.0,73.0
118,2019-11-19 11:39:08.311,747680280,946.9420821300616,3632019,54.27973551804934,282325,0,0.0,1529.0,73.0
119,2019-11-19 11:39:09.334,773251432,982.143161667428,3633485,55.56864070103384,282410,0,0.0,1466.0,85.0
120,2019-11-19 11:39:10.355,803487584,982.143161667428,3634976,55.56864070103384,282496,0,0.0,1491.0,86.0
121,2019-11-19 11:39:11.377,829404808,982.143161667428,3636429,55.56864070103384,282572,0,0.0,1453.0,76.0
122,2019-11-19 11:39:12.399,572927448,982.143161667428,3637843,55.56864070103384,282640,0,0.0,1414.0,68.0
123,2019-11-19 11:39:13.424,578080376,982.143161667428,3638056,55.56864070103384,282653,0,0.0,213.0,13.0
