load, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34
1500, 3895, 3631, 3657, 4487, 3435, 3453, 4207, 3647, 2605, 4987, 5263
2000, 2495, 3767, 3649, 3001, 3735, 2311, 3441, 3541, 3327, 3385, 3919
2500, 2671, 2533, 3803, 4147, 3005, 3831, 3691, 3339, 4775, 3073, 3471
3000, 2973, 3855, 4335, 4287, 2729, 3387, 3641, 5087, 3267, 4379, 3733
3500, 3629, 3381, 4263, 5431, 3415, 4187, 5251, 4623, 4519, 3933, 3547
4000, 4295, 3345, 4135, 3243, 4017, 3581, 3723, 3473, 4287, 4547, 3859
4500, 3573, 3537, 4223, 5083, 4363, 4567, 4195, 4119, 4343, 3593, 3753
